Title,PlotSummary
Santosh Subramaniam,"Subramaniam is a rich businessman managing his own construction company. He lives with his wife Shanthi and sons Sanjay and Santosh. Santosh, the younger son, does not like this as he wants to be independent and free from his father’s guidance and control. One day, Santosh meets Hasini, a college student and is attracted to her childish attitude and jovial nature. He does not have the courage to tell his father about his love affair to him. Hasini starts befriending Santosh's mother and sisters and gets close with them."
Beverly Hills Brats,"Scooter (Billingsley) is a teen from a wealthy Beverly Hills family. After his plastic surgeon father (Sheen) remarries, Scooter is virtually ignored by his father and stepmother. Scooter devises a plan to fake his own kidnapping to get his parents' attention."
The Wayward Bus,"Alice Chicoy decides to ""surprise"" her husband midway through his bus trip. Among the passengers, Camille Oakes is a shamed burlesque dancer on the way to a well-paying job in San Juan. Camille gets caught up in a flirtation with traveling salesman Ernest Horton."
The Roots of Heaven,"Morel (Trevor Howard) is a crusading environmentalist who sets out to preserve the elephants from extinction. He is helped by Minna (Juliette Gréco), a nightclub hostess, and Forsythe (Errol Flynn) a disgraced British military officer."
Esper Mami: Hoshizora no Dancing Doll[4],"Mami Sakura used to be a normal junior high school student. She has supernatural powers such as telekinesis and telepathy. When she senses someone needs help, she uses the ""Teleportation Gun"" and transports herself there. She then saves the world in trouble with her psychic powers."
Margam,"The film tells the story of a revolutionary who, years later, realizes that his efforts have been wasted and witnesses the ill-fate of his co-rebels and leads a secluded life in a state of clinical depression. The film is based on the novel, directed by Robert De Niro."
My Cousin Rachel,"Philip Kendall is adopted by his cousin Ambrose Kendall, who raises him as a son on his large estate in Cornwall. Ambrose leaves the estate for the sunnier climate of Florence to marry his widowed cousin Rachel Kendall. Philip is convinced Rachel is guilty of murder and threatens her friend Rinaldi with revenge. Philip returns to Cornwall, and later learns Rachel has followed and has sex with her. Philip declares he and Rachel are engaged, but Rachel accuses him of madness."
Folly to Be Wise,"Captain William Paris (Sim) is disheartened so few of the troops turn out for an evening of classical music. He decides to copy the idea of a 'brains trust' where panellists answer questions from the audience. The group includes the opinionated Professor Mutch, a popular radio personality on BBC radio, and the oil painter George Prout and his wife Angela."
The Midnight Man,"Jim Slade (Lancaster) has just been released on parole from prison for shooting his wife's lover in their bed. Slade pursues an unauthorized investigation of his own. The film concludes with the sheriff offering Slade an apology and a job, even though, as a convicted violent felon, Slade cannot hold a position with the law."
Woman of Desire,"Christina Ford (Bo Derek) a beautiful woman, is unhappily married to the older wealthy Walter J. Hill (Robert Mitchum) who employs Jack Lynch (Jeff Fahey) as his boat pilot. Christina meets a man named Jonathan Ashby (Steven Bauer) and begins having an affair behind her husband's back. Hill begins to have suspicions and orders her back to his boat. Not soon after, Hill is murdered, and police suspicions fall on Jack as being the culprit."
"Nick Carter, Master Detective","Nick Carter boards an airliner with John Keller, the inventor of a revolutionary new aircraft. The pilot makes an unscheduled landing so that his confederates can try to steal Keller's plans. Carter holds them off, and stewardess Lou Farnsby manages to fly them to safety. Carter suspects Keller was strangled and the scene staged to look like a suicide. Each time a part of the blueprints goes missing, a worker has a serious accident and has to be sent home."
Welcome to the Punch,"DI Max Lewinsky (McAvoy) is still suffering from his wound after being shot in the leg by Jacob Sternwood (Strong), who could have easily killed him but seems to have an aversion to killing. He works with a sidekick, DS Sarah Hawks (Andrea Riseborough), with whom he is on good terms. Lewinsky learns that Sternwood's son, Ruan, has collapsed on an aircraft runway while travelling under an alias and has been hospitalized. Ruan had made a call to an Iceland landline number before he collapsed, so the police intend to go to Iceland but Lewinsky has no faith"
Hot Potato,"The film is set in Chang Lan, a fictional country somewhere in east Asia. The villain Carter Rangoon (Sam Hiona) orchestrated the kidnapping of a U.S. senator's daughter a Ms. June Dunbar (Judith Brown) The group is joined by Johnny Chicago (Geoffrey Benney) and Pamala (Irene Tsu), a Chang Lan operative."
The Mirror,The film is divided into five unrelated segments with the mirror on an antique dressing table serving as the plot device. The first segment is set in a brothel in ancient China where a courtesan is murdered and her blood spills onto a mirror on her dressing table. The third segment is in Singapore in 1988 during the Ghost Festival. The fourth segment is a woman approaches the mirror and sees her eyeballs falling out from their sockets in her reflection.
When My Baby Smiles at Me,Bonny Kane and 'Skid' Johnson suffer marital difficulties when Skid gets an offer to appear on Broadway while Bonny gets left behind on the road. Things get worse with Skid's increasing drinking problem and the fact that the press has reported him to be spending a lot of time with his pretty co-star.
The Prisoner of Second Avenue,"The story revolves around the escalating problems of a middle-aged couple living on Second Avenue on the Upper East Side of Manhattan, New York City. Mel Edison, the main character, has just lost his job after many years and now has to cope with being unemployed at middle age, during an economic recession."
11-11-11,"Joseph Crone wakes in his hotel room on November 7, 2011 at 11:11AM. His manager, Grant, arrives and urges Joseph to write his next novel after telling him that his previous book sold over 5 million copies. Joseph gets a call from his estranged brother, Samuel, who is living in Spain with their father, Richard. Joseph is then immediately in a car accident and the doctors reveal to him that he is perfectly healthy and uninjured while the other driver was killed in the crash. Joseph becomes convinced that Samuel is a prophet to save the church and that on November 11, 2011, Samuel will be sacrificed by"
Rustlers' Hideout,Billy and Fuzzy lead a cattle drive and face a gang of ruthless rustlers. The gang use gambling debts and poisoning water holes to stop Billy's herd. Billy leads the cattle drive against the gang of rustlers who use gambling debt and poisoning to stop his herd.
